
topic,examples,baseline_rougeL,finetuned_rougeL,average_improvement,relative_improvement_%
"A/B testing a model change in production (statistical power, guardrail metrics)",4,0.10691261869452745,0.12246746702734093,0.015554848332813478,14.549122940536192
Batch size / gradient accumulation tradeoffs and effective batch size math,2,0.12943913907605797,0.219860809698421,0.09042167062236302,69.85651424120766
Calibration dataset choice for post-training quantization,4,0.12542864503048595,0.1552059589427171,0.029777313912231148,23.740441352127856
"Checkpoint resume bugs (optimizer state mismatch, torch.compile state_dict prefix issues, LR schedule discontinuity)",5,0.15325556701761592,0.19223021307294955,0.038974646055333614,25.43114538270162
"Choosing GPU hardware for a training job (VRAM math, interconnect bandwidth, cost-per-token)",2,0.11082824792294685,0.13974416183251526,0.028915913909568394,26.090743516645805
Choosing optimizers (AdamW vs Lion vs Sophia) and when it matters,3,0.1242233724146008,0.14111041056223841,0.01688703814763763,13.594090885953749
Common interview question: design a system to detect model drift in production,3,0.09783486595630808,0.12665469833319992,0.02881983237689184,29.457629542582954
Cost/latency tradeoffs in model selection for a product feature,4,0.12575742188065925,0.1800564760182275,0.05429905413756826,43.177613953549994
Critiquing a novel architecture proposal for missing ablations or confounds,5,0.11727771451741935,0.15548708002694286,0.038209365509523516,32.58024396770475
Curriculum learning and data ordering effects,3,0.11968136927492262,0.14568492115570822,0.0260035518807856,21.727318160149295
Custom CUDA kernel debugging basics and when you actually need one,4,0.12034833908413461,0.15130218904318266,0.030953849959048048,25.720213668597825
DPO/IPO preference optimization pitfalls,3,0.10235473936853261,0.1616409325742386,0.05928619320570599,57.922274602491555
"Data curation for instruction tuning (dedup, quality filtering, diversity)",3,0.11883727634006695,0.1495548061089389,0.030717529768871942,25.8483959872743
"Dataloader bottlenecks and how to profile/fix them (num_workers, pin_memory, prefetch)",3,0.101124573389002,0.15262048004312062,0.05149590665411861,50.923237476638036
"Dataset contamination detection (train/test overlap, benchmark leakage)",3,0.17386598652352572,0.14786354594538736,-0.026002440578138376,-14.955449940532214
"Debugging NaN/Inf losses in PyTorch training (overflow, bad LR, exploding grads, mixed precision pitfalls)",3,0.1002506370036406,0.13525218075901277,0.03500154375537216,34.914036261037495
Designing a red-team eval set for a new model release,5,0.09903722392555007,0.1433867160978929,0.04434949217234282,44.780629357787696
Designing a training job that survives preemption/spot instance interruption,3,0.10833520430235566,0.1722070694340465,0.06387186513169084,58.957626510242335
"Designing an eval suite for a new fine-tune (what to measure, contamination risks)",3,0.12043855687599371,0.14294182083453547,0.022503263958541766,18.684435069835352
"Diagnosing training instability (loss spikes, gradient norm explosions, dead neurons)",3,0.10396268220439875,0.1446367227076386,0.040674040503239875,39.12369288748393
"Diagnosing why a multi-GPU job is slower than expected (profiling, bottleneck ID)",3,0.10088437332894575,0.11134707112819288,0.010462697799247129,10.370979621523972
"Distributed training failures (NCCL hangs, rank mismatches, gradient sync bugs)",3,0.19095393754545487,0.19969260758734442,0.008738670041889579,4.576323564843703
"Explaining attention mechanism variants (MHA, GQA, MQA, MLA) and tradeoffs",3,0.14808006795589648,0.1768830643147583,0.028802996358861823,19.450961062119703
Explaining backpropagation through time and its failure modes,3,0.10620068226425239,0.1552605389289198,0.04905985666466741,46.195425131634174
Explaining scaling laws and what they do/don't predict,3,0.0927497906801088,0.12141397918277912,0.028664188502670312,30.904855194263696
Explaining why layer norm placement (pre-LN vs post-LN) affects training stability,3,0.14418647280610808,0.18871481931459852,0.044528346508490406,30.882471595216167
"GPU memory debugging (OOM diagnosis, activation checkpointing tradeoffs, memory fragmentation)",3,0.12042530214657372,0.15722429792477863,0.0367989957782049,30.557528295354068
GRPO vs PPO tradeoffs for LLM fine-tuning,3,0.1215131258621588,0.1800818018942499,0.05856867603209107,48.19946455704694
"Gradient clipping — when, why, and what threshold",4,0.13670819299132245,0.17494519416237836,0.0382370011710559,27.96979488528752
KV cache memory math and context length scaling,4,0.13394536939199486,0.19634980779695035,0.06240443840495548,46.58947053430951
Learning rate schedule design and warmup tuning,4,0.10521758431233579,0.1666429754403232,0.061425391127987394,58.37939687500109
"Mixed precision training pitfalls (fp16 vs bf16, loss scaling, gradient underflow)",4,0.11548419557745239,0.15426460826339516,0.03878041268594276,33.58070989024095
Mixture-of-Experts routing design choices and load balancing,3,0.12356935072724547,0.17318301906340652,0.04961366833616108,40.15046453199652
"Model serving architecture (vLLM, TGI, llama.cpp tradeoffs)",4,0.14127502597757846,0.15955596788910198,0.01828094191152351,12.939967120887205
Overfitting vs underfitting diagnosis from loss curves alone,3,0.12218992022178166,0.18926970308185775,0.06707978286007611,54.89796763785629
"Positional encoding schemes (RoPE, ALiBi, learned) and extrapolation behavior",4,0.1279186930657225,0.14750110924069543,0.01958241617497291,15.308486747055639
"Quantization tradeoffs (GGUF Q4/Q5/Q8, GPTQ, AWQ) and when to use each",3,0.1089927905154741,0.1435678114564631,0.034575020940989,31.722300876478855
Quantization-aware training vs post-training quantization,3,0.1075731433157398,0.12433570633049462,0.01676256301475482,15.582479509364832
"RL training instability (KL divergence blowup, policy collapse, reward model overfitting)",3,0.12076763106174872,0.17549358058546596,0.05472594952371723,45.31508074024881
"RLHF pipeline design (reward model, PPO, KL penalty tuning)",2,0.1432613061122035,0.17034113154263342,0.027079825430429937,18.902400212113648
"Reading a paper's results table skeptically (cherry-picked baselines, missing error bars, unfair comparisons)",4,0.11892658605973164,0.16804850370847102,0.0491219176487394,41.30440406661266
Reward hacking diagnosis and mitigation,4,0.14733631486985205,0.21584997046945203,0.06851365559959999,46.5015401397278
"Setting up a remote training job correctly (daemonization, logging, checkpoint cadence)",3,0.13411526520285993,0.15364490215959778,0.019529636956737827,14.561830025238148
State space models / Mamba vs transformer tradeoffs,4,0.09536068099435882,0.13089721547168356,0.035536534477324744,37.26539503155074
Tradeoffs between dense vs sparse (MoE) models at a given inference budget,4,0.14755378965592642,0.15304115261432333,0.005487362958396913,3.7188898849650904
