
index,instruction,topic,difficulty,baseline_rougeL,finetuned_rougeL,improvement
0,"Is there *any* scenario where a learned absolute positional embedding is a better choice than RoPE or ALiBi, even knowing its extrapolation limitations?","Positional encoding schemes (RoPE, ALiBi, learned) and extrapolation behavior",senior,0.10485436893203882,0.12213740458015267,0.017283035648113843
1,"I'm implementing a custom attention mechanism and noticed that when my sequence length approaches the total number of physical memory pages, `malloc` calls for KV tensors start failing or becoming extremely slow. I'm not explicitly using PagedAttention. Is this expected behavior?",KV cache memory math and context length scaling,staff,0.13963039014373715,0.26666666666666666,0.1270362765229295
2,"I'm preparing my dataset for DPO and sometimes the `rejected` response is much longer than the `chosen` response, or vice versa. Is that a problem for DPO? I'm using `tokenizer.pad=True`.",DPO/IPO preference optimization pitfalls,junior,0.1303370786516854,0.16,0.029662921348314608
3,"Beyond marginal accuracy gains, when is QAT an absolute requirement over PTQ, regardless of implementation complexity?",Quantization-aware training vs post-training quantization,senior,0.11522633744855966,0.10344827586206896,-0.011778061586490696
4,"I'm planning an experiment to compare our new text classifier with 'BigTextNet' from a recent paper. They used a proprietary 10TB dataset, but we only have 1TB of public data. We'll use the same architecture. Is this a fair comparison?","Reading a paper's results table skeptically (cherry-picked baselines, missing error bars, unfair comparisons)",junior,0.09421841541755889,0.15763546798029557,0.06341705256273668
5,"I implemented a custom activation function for my decoder blocks: `lambda x: x * torch.tanh(x)`. It seemed to work fine on a small dataset but now with 100B params, training is unstable, often dying within the first 1000 steps. Anything obvious with this activation?","Diagnosing training instability (loss spikes, gradient norm explosions, dead neurons)",staff,0.10268948655256724,0.14457831325301204,0.0418888267004448
6,"My RLHF training run for a chatbot model just diverged after about 200 optimization steps. The reward signal went from positive to wildly negative, and the PPO KL divergence metric went through the roof. What should I check?","Diagnosing training instability (loss spikes, gradient norm explosions, dead neurons)",junior,0.11868131868131866,0.16194331983805668,0.04326200115673802
7,"We need to process extremely long legal documents (average 500k words) for RAG augmentation, specifically extracting key clauses and summarizing sections. Our current approach uses a chunking strategy with a GPT-3.5 turbo and it's missing too much context. I'm proposing fine-tuning a Mamba-7B. Any red flags?",State space models / Mamba vs transformer tradeoffs,staff,0.11845102505694761,0.13475177304964542,0.016300747992697803
8,"I'm prototyping an RNN-based image captioning model. The captions are typically around 20-30 words. For the RNN decoder, I was planning on using a simple RNN cell with `tanh` activation. Any red flags here?",Explaining backpropagation through time and its failure modes,senior,0.13157894736842105,0.1642512077294686,0.03267226036104756
9,"I'm using the LARS optimizer, which I heard does its own form of layer-wise adaptive gradient scaling. Does this mean I don't need `clip_grad_norm_` at all?","Gradient clipping — when, why, and what threshold",junior,0.15897435897435896,0.18779342723004697,0.028819068255688002
